Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.31,0.01,0.3703256048194111
75% Corpus,8,0.31,0.31,0.42475492309636437
75% Corpus,8,0.31,0.61,0.42977069069366813
75% Corpus,8,0.31,0.9099999999999999,0.4153879939805731
75% Corpus,8,0.31,symmetric,0.38967535773444734
75% Corpus,8,0.61,0.01,0.3576541255512133
75% Corpus,8,0.61,0.31,0.356067054683822
75% Corpus,8,0.61,0.61,0.4127301573182359
75% Corpus,8,0.61,0.9099999999999999,0.40066355638057755
75% Corpus,8,0.61,symmetric,0.3681538223572014
75% Corpus,8,0.9099999999999999,0.01,0.3339951060219131
75% Corpus,8,0.9099999999999999,0.31,0.33238532744596155
75% Corpus,8,0.9099999999999999,0.61,0.3259177061137098
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.34096691804743084
75% Corpus,8,0.9099999999999999,symmetric,0.33488065669615874
75% Corpus,8,symmetric,0.01,0.32161415216599465
75% Corpus,8,symmetric,0.31,0.3569167375941244
75% Corpus,8,symmetric,0.61,0.3928821369997123
75% Corpus,8,symmetric,0.9099999999999999,0.4098061054260649
75% Corpus,8,symmetric,symmetric,0.36036572735460215
75% Corpus,8,asymmetric,0.01,0.3595280299744542
75% Corpus,8,asymmetric,0.31,0.40849031693324167
75% Corpus,8,asymmetric,0.61,0.3689264188360959
75% Corpus,8,asymmetric,0.9099999999999999,0.3652293143329844
75% Corpus,8,asymmetric,symmetric,0.38665315243543635
75% Corpus,9,0.01,0.01,0.34319638377021233
75% Corpus,9,0.01,0.31,0.3722219386374082
75% Corpus,9,0.01,0.61,0.39945386173502617
75% Corpus,9,0.01,0.9099999999999999,0.4219203569707759
75% Corpus,9,0.01,symmetric,0.37332047305458665
75% Corpus,9,0.31,0.01,0.3663082740931982
75% Corpus,9,0.31,0.31,0.46062170008662284
75% Corpus,9,0.31,0.61,0.456969181401601
75% Corpus,9,0.31,0.9099999999999999,0.45407432605719555
75% Corpus,9,0.31,symmetric,0.38798461184253397
75% Corpus,9,0.61,0.01,0.3439685241053837
75% Corpus,9,0.61,0.31,0.3481218028769762
75% Corpus,9,0.61,0.61,0.4062395675753105
75% Corpus,9,0.61,0.9099999999999999,0.3846302624083673
75% Corpus,9,0.61,symmetric,0.34747608296898674
75% Corpus,9,0.9099999999999999,0.01,0.33413692384461885
75% Corpus,9,0.9099999999999999,0.31,0.3227386588318095
75% Corpus,9,0.9099999999999999,0.61,0.3113897861663258
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.30752414456155097
75% Corpus,9,0.9099999999999999,symmetric,0.31898923362863113
75% Corpus,9,symmetric,0.01,0.3374077386824662
75% Corpus,9,symmetric,0.31,0.4098629245494154
75% Corpus,9,symmetric,0.61,0.421856737729947
75% Corpus,9,symmetric,0.9099999999999999,0.3837721702188489
75% Corpus,9,symmetric,symmetric,0.35179188350602697
75% Corpus,9,asymmetric,0.01,0.3327715089039029
75% Corpus,9,asymmetric,0.31,0.40964040778596467
75% Corpus,9,asymmetric,0.61,0.37824476523344813
75% Corpus,9,asymmetric,0.9099999999999999,0.380962188357629
75% Corpus,9,asymmetric,symmetric,0.411338125233812
75% Corpus,10,0.01,0.01,0.3654234605995351
