Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.8638159996,2.33570999957;"{""type"": ""Point"", ""coordinates"": [2.335709999574136, 48.86381599960809]}";75001.0;296  Rue Saint-Honoré;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I2294;pas de commentaires;-
48.8508049997,2.34775000013;"{""type"": ""Point"", ""coordinates"": [2.347750000131647, 48.8508049997128]}";75005.0;Rue des Anglais;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014G2088;pas de commentaires;-
-90.0,-59.0169768948;"{""type"": ""Point"", ""coordinates"": [-59.016976894805566, -90.0]}";75013.0;Square Robert Bajac;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014G4279;pas de commentaires;-
48.8886029996,2.33596800014;"{""type"": ""Point"", ""coordinates"": [2.335968000140949, 48.88860299955257]}";75018.0;Rue Caulaincourt;la proposition n'a pas été retenue à cause du manque de luminosité du site proposé, incompatible avec le développement de la végétation;Autre proposition;Propositions non réalisables techniquement;S2014G2130;La végétalisation du pont Caulaincourt pourrait se penser depuis le cimetière de Montmartre situé en partie sous le pont.;-
48.8370070004,2.27997999966;"{""type"": ""Point"", ""coordinates"": [2.279979999663409, 48.83700700036257]}";75015.0;9  Rue Bouilloux-Lafont;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Mur végétalisé;Propositions non réalisables techniquement;S2014G3573;pas de commentaires;-
48.8492259996,2.40529400053;"{""type"": ""Point"", ""coordinates"": [2.405294000527528, 48.849225999627826]}";75020.0;Rue Mounet-Sully;la proposition n'a pas été retenue à cause du manque de luminosité du site proposé, incompatible avec le développement de la végétation;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G2625;La vegetalisation des pieds des arbres bordant le parc est peut-être une solution à toutes les déjections canines qui s'y trouvent actuellement et qui nous dégoûtent.;-
48.8526159998,2.39352200036;"{""type"": ""Point"", ""coordinates"": [2.393522000359955, 48.85261599978805]}";75011.0;50  Avenue Philippe-Auguste;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G2213;végétaliser les pieds d'arbres avenue Philippe Auguste;-
48.8728110002,2.3697459994;"{""type"": ""Point"", ""coordinates"": [2.369745999402622, 48.87281100022437]}";75010.0;1  Avenue Claude Vellefaux;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014I4476;pas de commentaires;-
48.8764209998,2.34613500031;"{""type"": ""Point"", ""coordinates"": [2.346135000308673, 48.876420999837464]}";75009.0;82  Rue la Fayette;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4224;pas de commentaires;-
48.8433830004,2.30039799966;"{""type"": ""Point"", ""coordinates"": [2.300397999663863, 48.84338300037838]}";75015.0;81  Rue Mademoiselle;la proposition n'a pas été retenue du fait de la présence de réseaux enterrés incompatibles avec la plantation de végétaux;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G2131;végétaliser devant les écoles le long des barrières bordant la rue sur un ou deux mètres de large;-
48.8251630003,2.31133599974;"{""type"": ""Point"", ""coordinates"": [2.311335999737992, 48.82516300027293]}";75014.0;Allée Georges Besse;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G3482;pas de commentaires;-
48.836374,2.37357499939;"{""type"": ""Point"", ""coordinates"": [2.373574999391519, 48.83637399999207]}";75013.0;10  Rue George Balanchine;-;Végétalisation d'un pied d'arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H1096;-;-
48.8631250003,2.23156100019;"{""type"": ""Point"", ""coordinates"": [2.231561000185294, 48.8631250003078]}";75016.0;Allée du Bord de l'Eau;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014I2117;probleme d'orties entre le pont de saint cloud chemin pieton le long du camping;-
48.879477,2.28756600064;"{""type"": ""Point"", ""coordinates"": [2.287566000642701, 48.87947700003172]}";75017.0;235  Boulevard Pereire;La végétalisation proposée (plantation d'arbres, jardinières, ...) est déjà présente à l'emplacement proposé;Plantation d?arbre;Propositions non réalisables techniquement;S2014I3224;pas de commentaires;-
48.835515,2.31800600061;"{""type"": ""Point"", ""coordinates"": [2.31800600060856, 48.83551500000187]}";75014.0;2, rue de l'Abbé Soulange-Bodin;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G3481;-;-
48.8359399996,2.39582099981;"{""type"": ""Point"", ""coordinates"": [2.395820999814183, 48.83593999962513]}";75012.0;83  Rue de Wattignies;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G3114;-;-
48.8676780003,2.3965600003;"{""type"": ""Point"", ""coordinates"": [2.396560000297847, 48.867678000272846]}";75020.0;57 Rue Villiers de L'Isle-Adam;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014G2197;Il est possible de rajouter des plantes sur les côtés de l'escalier;-
48.8750999999,2.40455800027;"{""type"": ""Point"", ""coordinates"": [2.404558000267687, 48.875099999948205]}";75020.0;22 Passage des Tourelles;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014H48;Copropriété à l'abandon depuis plus de 10 ans. A végétaliser pour camouflage en attendant sa destruction. probable indivision.;-
48.824038,2.35843000003;"{""type"": ""Point"", ""coordinates"": [2.358430000027286, 48.824037999950384]}";75013.0;87  Avenue d'Italie;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G3910;-;-
48.8491857625,2.38103742513;"{""type"": ""Point"", ""coordinates"": [2.381037425130274, 48.84918576245967]}";75012.0;rue de citeaux;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;NP24;-;En cours de substitution / En cours de validation
48.8637876911,2.3498921638;"{""type"": ""Point"", ""coordinates"": [2.349892163795706, 48.863787691146904]}";75002.0;118-139 rue saint denis;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G2854;-;Réalisé
48.8918101631,2.32662427738;"{""type"": ""Point"", ""coordinates"": [2.326624277382446, 48.89181016305946]}";75017.0;4 passage legendre;-;Mur végétalisé;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G1921;-;En cours d'études
48.8631269996,2.34553899946;"{""type"": ""Point"", ""coordinates"": [2.345538999457211, 48.86312699960403]}";75010.0;Porte Saint-Denis;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Mur végétalisé;Propositions non réalisables techniquement;S2014G4611;On pourrait mettre du vert à la porte saint Denis! sur ses flancs, en dessous avec un petit parterre!;-
48.8775450003,2.31025299981;"{""type"": ""Point"", ""coordinates"": [2.310252999813561, 48.87754500029019]}";75008.0;Place de Rio de Janeiro;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I2410;pas de commentaires;-
48.8742509997,2.35868500065;"{""type"": ""Point"", ""coordinates"": [2.358685000646812, 48.87425099966419]}";75010.0;2  Passage des Récollets;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I4563;Talus à aménager en micro jardin;-
48.8778860004,2.36998399975;"{""type"": ""Point"", ""coordinates"": [2.369983999745302, 48.87788600041469]}";75010.0;Place du Colonel Fabien;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G2675;Ca serait super de faire un petit jardin sur le rond point !;-
48.8689210001,2.34022399967;"{""type"": ""Point"", ""coordinates"": [2.340223999666843, 48.86892100012309]}";75002.0;33 Place de la Bourse;la proposition n'a pas été retenue du fait des protections patrimoniales propres au site proposé limitant les réalisations possibles;Plantation d?arbre;Propositions non réalisables techniquement;S2014I1049;Ajout d arbres place de la Bourse;-
